TRINS II permanentes	VH	Flimmern arterielle und
ÐÐ mmHg EKG	VH	Fli SM Rhythmus
flattern typ rechtsatriales	VH	Flattern clock wise
MK Implantation EKG	VH	Flattern ÐÐÐ min
Grundrhythmus besteht eine	VHFA	SM Aktivität im
Grundrhythmus besteht eine	VHFA	SM Aktivität im
mmHg f EKG	VHFA	ventr Stimulation mit
RELEVANTE BEFUNDE EKG	VHFA	ÐÐ min periphere
aufgrund einer tc	VHFA	über die EBA
RELEVANTE BEFUNDE EKG	VHFA	ca ÐÐ min
SM Aktivität im	VVI	Mode mit adäquater
Anstieg über der	VW	R Umschlag in
Anstieg über der	VW	R Umschlag in
Anstieg über der	VW	R Umschlag in
a im apikoseptalen	VW	Bereich EF ÐÐ
Verlust über der	VW	neg Ts VÐ
Hinweis auf regionale	WBST	EF ÐÐ ÐÐ
Kanal EKG Manifestes	WPW	Syndrom Diagnose Akzessorische
T II III	aVF	VÐ Ð bei
in II III	aVF	VÐ und VÐ
neg T I	aVL	VÐ USKG RA
neg T I	aVL	T Abfl VÐ
neg T I	aVL	T Abfl VÐ
BEFUNDE EKG SR	ÜLT	ÐÐ min PQ
Linkstyp normale Vorhoferregung	ÜZ	BWA regelrechter R
normale Vorhoferregung und	ÜZ	QRS Komplex nicht
BEFUNDE EKG SR	üLT	träger R Anstieg
